date_key,doc_type,filename,cba_tone,dollarization_intensity,forward_looking_ratio,raw_words,inflation_signal,amd_appreciation_signal,filtered_words
2017-08,IR,IR_2017_Q3.pdf,0.000889,1.48236,0.20442,12441,-0.592944,0.0,3373
2017-09,MIN,MIN_2017_09.pdf,0.016442,0.0,0.166667,1307,0.0,0.0,669
2017-11,MIN,MIN_2017_11.pdf,0.017857,0.0,0.3,1209,-1.785714,0.0,560
2017-11,IR,IR_2017_Q4.pdf,0.010213,0.567376,0.309677,13762,-0.567376,-0.567376,3525
2017-12,MIN,MIN_2017_12.pdf,0.010274,0.0,0.238095,1379,-1.141553,0.0,876
2018-02,IR,IR_2018_Q1.pdf,0.008432,0.263505,0.213592,12775,-0.527009,0.0,3795
2018-02,MIN,MIN_2018_02.pdf,0.013453,0.0,0.235294,1177,0.0,0.0,669
2018-03,MIN,MIN_2018_03.pdf,0.020126,0.0,0.30303,1294,0.0,0.0,795
2018-04,FSR,FSR_2017.pdf,-0.023878,0.897666,0.004604,25128,-0.179533,-0.179533,5570
2018-05,IR,IR_2018_Q2.pdf,0.000614,0.613685,0.2,12500,-0.613685,-0.920528,3259
2018-05,MIN,MIN_2018_05.pdf,0.008253,0.0,0.28125,1249,-1.375516,0.0,727
2018-06,MIN,MIN_2018_06.pdf,-0.003822,0.0,0.305556,1247,-1.273885,0.0,785
2018-08,IR,IR_2018_Q3.pdf,-0.008341,0.308928,0.244048,12921,-0.308928,-0.308928,3237
2018-08,MIN,MIN_2018_08.pdf,-0.005502,0.0,0.296296,1287,0.0,0.0,727
2018-09,MIN,MIN_2018_09.pdf,-0.002786,0.0,0.263158,1173,0.0,0.0,718
2018-11,MIN,MIN_2018_11.pdf,-0.01087,0.0,0.294118,1240,-2.717391,0.0,736
2018-11,IR,IR_2018_Q4.pdf,-0.011912,0.290529,0.20765,13907,-0.581058,-0.581058,3442
2018-12,MIN,MIN_2018_12.pdf,-0.004144,0.0,0.135135,1283,-1.381215,0.0,724
2019-01,MIN,MIN_2019_01.pdf,-0.001425,0.0,0.131579,1173,-1.424501,0.0,702
2019-03,MIN,MIN_2019_03.pdf,0.0,0.0,0.148936,1381,0.0,0.0,776
2019-03,IR,IR_2019_Q1.pdf,-0.001572,0.0,0.213904,12405,0.0,-0.314465,3180
2019-04,MIN,MIN_2019_04.pdf,-0.005831,0.0,0.121212,1270,-1.457726,0.0,686
2019-04,FSR,FSR_2018.pdf,-0.026655,0.423101,0.0317,19651,-0.211551,0.0,4727
2019-06,IR,IR_2019_Q2.pdf,-0.001721,1.032347,0.23494,13090,-0.688231,0.0,2906
2019-06,MIN,MIN_2019_06.pdf,-0.002283,0.0,0.227273,814,-2.283105,0.0,438
2019-07,MIN,MIN_2019_07.pdf,0.0,0.0,0.242424,1323,-2.808989,0.0,712
2019-09,IR,IR_2019_Q3.pdf,-0.006657,0.0,0.219895,13171,-0.350385,0.0,2854
2019-09,MIN,MIN_2019_09.pdf,-0.006944,0.0,0.285714,1165,0.0,0.0,432
2019-10,MIN,MIN_2019_10.pdf,-0.001181,0.0,0.148936,1379,-1.180638,0.0,847
2019-12,IR,IR_2019_Q4.pdf,0.001226,0.0,0.302013,14354,-0.30656,-0.30656,3262
2019-12,MIN,MIN_2019_12.pdf,0.004231,0.0,0.222222,1261,-1.410437,0.0,709
2020-01,MIN,MIN_2020_01.pdf,0.005814,0.0,0.162162,1281,-1.453488,0.0,688
2020-03,IR,IR_2020_Q1.pdf,-0.017401,1.359434,0.232432,17225,0.0,-0.543774,3678
2020-03,MIN,MIN_2020_03.pdf,-0.005594,1.398601,0.15,1420,-1.398601,0.0,715
2020-04,FSR,FSR_2019.pdf,-0.0381,2.286005,0.035088,14851,0.0,0.0,3937
2020-04,MIN,MIN_2020_04.pdf,-0.02551,0.0,0.266667,1485,-1.70068,0.0,588
2020-06,IR,IR_2020_Q2.pdf,-0.02523,1.051248,0.217877,16058,-0.262812,-0.788436,3805
2020-06,MIN,MIN_2020_06.pdf,-0.013245,0.0,0.148148,1846,0.0,0.0,604
2020-07,MIN,MIN_2020_07.pdf,0.013444,0.0,0.272727,2023,0.0,0.0,967
2020-09,IR,IR_2020_Q3.pdf,-0.022446,0.75662,0.311377,19276,-0.252207,-0.504414,3965
2020-09,MIN,MIN_2020_09.pdf,-0.010221,0.0,0.166667,1899,0.0,0.0,587
2020-10,MIN,MIN_2020_10.pdf,-0.01087,0.0,0.171429,1709,0.0,0.0,736
2020-12,IR,IR_2020_Q4.pdf,-0.015484,0.516129,0.22439,15645,-0.516129,-0.516129,3875
2020-12,MIN,MIN_2020_12.pdf,-0.020356,0.0,0.228571,1766,-1.272265,-1.272265,786
2021-02,MIN,MIN_2021_02.pdf,-0.012082,0.0,0.264151,1930,0.0,0.0,1076
2021-03,MIN,MIN_2021_03.pdf,-0.010376,0.0,0.416667,1967,0.0,0.0,771
2021-03,IR,IR_2021_Q1.pdf,-0.019885,0.855249,0.348315,19949,-0.427625,-0.427625,4677
2021-04,FSR,FSR_2020.pdf,-0.022451,2.460403,0.055961,23972,0.0,-0.30755,6503
2021-05,MIN,MIN_2021_05.pdf,0.00256,0.853242,0.3,1890,0.0,0.0,1172
2021-06,MIN,MIN_2021_06.pdf,-0.001477,1.477105,0.25,1870,0.0,1.477105,677
